created_at,full_text,quote_count,reply_count,retweet_count,favorite_count,text_cleaned
Sun Jul 30 22:42:46 +0000 2023,"@discountfess punya aku pernah segini, tpi bukan krna main cocoki itu https://t.co/2CWbmJWJN9""",2,10,0,9,main
Sun Jul 30 22:41:18 +0000 2023,YA ALLAH SUMPAH GEGARA KESEL COCOKI SAMPE MIMPI PUN MAIN COCOKI COI BEDANYA DI RL KALAH KALO DIMIMPI MENANGG😭😭😭,0,0,0,0,gara-gara kesal mimpi main coi bedanya real life kalah dimimpi menangg
Sun Jul 30 22:39:55 +0000 2023,Maen cocoki dari kemaren gapernah menang weii https://t.co/phtMi9eu9h,0,0,0,0,main kemarin menang weii
Sun Jul 30 22:35:16 +0000 2023,frustrasi bgt main shopee cocoki,0,0,0,0,frustrasi main
Sun Jul 30 22:34:12 +0000 2023,gw mau main cocoki lagi wml ga stress,0,0,0,0,main wml stre
Sun Jul 30 22:33:53 +0000 2023,TUTOR MAIN COCOKI BIAR MENANGG GIMANAAAA,0,0,0,0,tutor main menangg
Sun Jul 30 22:32:01 +0000 2023,@wuhankontoI makasih syopi cocoki 😋 https://t.co/OyI53r1ILA,0,1,0,0,terima kasih
Sun Jul 30 22:30:28 +0000 2023,@ahdiww Seminggu main shopee cocoki gk pernah bisa menang 😭,0,0,0,0,seminggu main menang
Sun Jul 30 22:26:59 +0000 2023,"shopee cocoki sialan bikin gua penasaran aja, sampe lupa tidur bjir",0,0,0,0,sialan penasaran lupa tidur bjir
Sun Jul 30 22:22:20 +0000 2023,"Info dong, shopee cocoki hari ini yg mana yg dikerjain duluan.? Please bantu jawab yg uda menang",0,0,0,0,informasi dikerjain duluan bantu menang
Sun Jul 30 22:21:24 +0000 2023,muak ak sm shopee cocoki,0,0,0,0,muak
Sun Jul 30 22:16:28 +0000 2023,"liat tips &amp  trick shopee cocoki dari hari pertama juga ttp ga pernah menang.. tau polanya kayak apa, tau harus dimainin kayak apa, tetep ajeeee kagak menang (⁠╯⁠ರ⁠ ⁠~⁠ ⁠ರ⁠)⁠╯⁠︵⁠ ⁠┻⁠━⁠┻",0,0,1,1,lihat tips amp trick menang polanya dimainin menang
Sun Jul 30 20:28:04 +0000 2023,dari sejam yang lalu dah merem tp kepikiran cocoki akhirnya bangun lagi https://t.co/8KS3VdQLom,0,2,0,0,sejam merem terpikirkan bangun
Sun Jul 30 20:18:09 +0000 2023,@discountfess emng bnr bnr ya dibikin emosi dlu mau namatin cocoki doang https://t.co/DM5TNZSLCq,0,0,0,0,dibikin emosi namatin
Sun Jul 30 20:11:56 +0000 2023,@sensuous__ Main cocoki,0,1,0,0,main
Sun Jul 30 20:06:07 +0000 2023,"Banyak hal ko, aku cukup gampang seneng dan bahagia. Aku bisa menang shopee cocoki aja pasti aku bahagia, sayangnya sampai skrg belum pernah menang",0,0,0,0,gampang senang bahagia menang bahagia sayangnya menang
Sun Jul 30 20:03:56 +0000 2023,@discountfess Emang shopee cocoki udah ada 9 hari ya? Wkwkwk selamat sender.. btw ayo ajarin aku suhu😭 aku baru 2 kali,0,2,0,0,wkwkwk selamat sender ngomong-ngomong ayo ajarkan suhu
Sun Jul 30 20:01:33 +0000 2023,game shopee cocoki biki emosi bgt Allahuakbar 😭,0,0,0,0,permainan biki emosi allahuakbar
Sun Jul 30 19:55:13 +0000 2023,Cocoki ini apa ya,0,0,0,0,
Sun Jul 30 19:54:37 +0000 2023,@f4rels Gua kira Cocoki game Plato..,0,1,0,0,permainan plato
Sun Jul 30 19:51:45 +0000 2023,"Cocoki terossss, drakornya kapan",0,0,0,0,teros drakornya
Sun Jul 30 19:48:11 +0000 2023,fak yu cocoki https://t.co/7W6zir01fo,0,0,0,1,fak yuk
Sun Jul 30 19:47:38 +0000 2023,PENGEN MAIN COCOKI TP GAK ADAAA HHHHH,0,0,0,0,main
Sun Jul 30 19:46:10 +0000 2023,@TEHSISRl masa kalah sama game cocoki,0,0,0,0,kalah permainan
Sun Jul 30 19:42:08 +0000 2023,anjiang ang shopee cocoki,0,0,0,0,anjiang ang
Sun Jul 30 19:41:36 +0000 2023,hhhh emosi bgt cocoki hari ini susah polll,0,1,0,0,emosi susah pol
Sun Jul 30 19:40:41 +0000 2023,main sopi cocoki adalah stress yg disengaja,0,0,0,0,main stre disengaja
Sun Jul 30 19:36:01 +0000 2023,otak ku panas gara shopee cocoki,0,0,0,0,otak panas gara
Sun Jul 30 19:34:53 +0000 2023,dari jam 1 main ini sampe stengah 4 nd pernah menang bajingan cocoki bgst https://t.co/hF9ydcVKpw,0,0,0,2,jam main stengah indak menang bajingan bangsat
Sun Jul 30 19:31:38 +0000 2023,sinting ak main cocoki,0,4,0,16,sinting main
Sun Jul 30 19:28:40 +0000 2023,Cocoki bgst ga menang menang🥴,0,0,0,0,bangsat menang menang
Sun Jul 30 19:28:35 +0000 2023,"HOW TO CARANYA TAMATIN COCOKI, UDAH SERIBU CARA GUE LAKUKAN, UDAH LIAT TIPS N TRICK NYA JG TP TETEP AJA ???!!!",0,0,0,1,how tamatin seribu lakukan lihat tips trick
Sun Jul 30 19:27:45 +0000 2023,COCOKI JANCOKKKKK,0,0,0,0,
Sun Jul 30 19:26:53 +0000 2023,"anjg lah gue begadang cm buat tamatin cocoki doang, apakah tamat ? ngga",0,1,0,0,anjing begadang tamatin tamat
Sun Jul 30 19:23:42 +0000 2023,cocoki stands for cOOOK JANCOK IKI,0,0,0,0,stands cok iki
Sun Jul 30 19:23:11 +0000 2023,AKU MUAK BGT DENGAK COCOKI TAPI APAKAH AKU AKAN BERHENTI? tentu sjaa TIDAK,0,1,0,0,muak dengak berhenti sjaa
Sun Jul 30 19:22:27 +0000 2023,cocoki hari ini https://t.co/FY6Z9dIpn7,0,2,0,0,
Sun Jul 30 19:22:03 +0000 2023,siapa yang main cocoki berhari hari belom menang sama sekali cung sini 😭☝🏻,0,0,1,0,main berhari menang cung
Sun Jul 30 19:16:37 +0000 2023,jgn main cocoki ntr kecanduan🙏🏻,0,0,0,0,main entar kecanduan
Sun Jul 30 19:15:35 +0000 2023,"gara gara cocoki ku guring diatas jam 2 trs, cka pang menang ni kd haur kalah trs😇",0,0,0,0,gara gara guring diatas jam cka pang menang kd haur kalah
Sun Jul 30 19:11:28 +0000 2023,"lu menang cocoki, you won at life😭🙏",0,0,0,0,menang you won at life
Sun Jul 30 19:10:53 +0000 2023,"cocoki sebelum tidur, 31 juli 😂 https://t.co/jANh23P1Cg",0,2,0,0,tidur juli
Sun Jul 30 19:08:52 +0000 2023,@flyvawayk Di shopi games kak namanya cocoki wkwk,0,0,0,0,games namanya
Sun Jul 30 19:08:03 +0000 2023,tumben menang cocoki di 400an 😭🤏 biasanya udh 1000 lebih https://t.co/UsnnApJ9b6,0,0,0,0,tumben menang an
Sun Jul 30 19:05:36 +0000 2023,Bisa gila main sopi cocoki,0,0,0,0,gila main
Sun Jul 30 19:03:56 +0000 2023,UDH JAM 2 AJA GW MAIN COCOKI,0,0,0,0,jam main
Sun Jul 30 19:03:50 +0000 2023,Cocoki kupretttt,0,0,0,0,kupret
Sun Jul 30 19:01:48 +0000 2023,shopee cocoki asuk lah siapa yang buka joki tamatin cocoki ?,0,0,0,0,asuk buka joki tamatin
Sun Jul 30 19:00:52 +0000 2023,gw kesel bgt taiiiii shopee cocoki lv 3 kayak ashuuu. tenang gw siap bertempur,0,0,0,0,kesal tahi lv ashu tenang bertempur
Sun Jul 30 18:58:36 +0000 2023,kpn yh ak menamatkan cocoki jancok ini,0,0,0,0,menamatkan
Sun Jul 30 18:55:30 +0000 2023,CAN SOMEONE STOP ME FROM MAIN SHOPEE COCOKI KARNA GA MENANG MENANG ANJEENGGG BSK MAU KERJA 😫🤡 KESHALL,0,0,0,0,someone stop me main menang menang anjeeng kerja keshall
Sun Jul 30 18:54:30 +0000 2023,GUE MUAK MAIN COCOKI JAM SEGINI,0,0,0,0,muak main jam
Sun Jul 30 18:53:57 +0000 2023,cocoki monyettttt,0,0,0,0,monyet
Sun Jul 30 18:53:36 +0000 2023,@discountfess Ini apaan cocoki,0,0,0,0,
Sun Jul 30 18:52:19 +0000 2023,gue cpek bgt main shopi cocoki,0,0,0,0,cpek main
Sun Jul 30 18:51:41 +0000 2023,sementara tak main shopee cocoki sek,0,3,0,7,main sek
Sun Jul 30 18:49:51 +0000 2023,gw hrus stop main sopi cocoki karna ini game beneran bikin stress anjir,0,0,0,0,stop main permainan stre
Sun Jul 30 18:49:44 +0000 2023,GW UDH ENEG ANJGG MAIN SHOPEE COCOKI,0,1,0,0,eneg anjgg main
Sun Jul 30 18:48:25 +0000 2023,udah 351 org yg menang cocoki ko bisa sii? aku drtd ga menang menang bngke😡,0,0,0,0,orang menang menang menang bngke
Sun Jul 30 18:47:56 +0000 2023,@curatedbyraisa main cocoki rai,0,1,0,0,main rai
Sun Jul 30 18:46:28 +0000 2023,@tanyakanrl mo menangin cocoki ga menang menang asu,0,0,0,0,menangin menang menang asu
Sun Jul 30 18:46:17 +0000 2023,Shopee cocoki 💩🤬 Memng paling bener kita tidur dari pada main ga menang2😤,0,1,0,5,memng tidur main menang
Sun Jul 30 18:43:51 +0000 2023,sush bgt si main cocoki disopi:(,0,0,0,1,sush main disopi
Sun Jul 30 18:40:14 +0000 2023,irsan nyambi maen shopee cocoki 😋👉🏼👈🏼,0,0,0,0,irsan nyambi main
Sun Jul 30 18:39:51 +0000 2023,"mau marah sama shopee cocoki, susah bgt bjir https://t.co/Y9oFo0MFDk",0,1,0,2,marah susah bjir
Sun Jul 30 18:39:15 +0000 2023,gue tandain lu cocoki https://t.co/PfMh4UuIob,0,2,0,0,tandain
Sun Jul 30 18:38:53 +0000 2023,DARITADI MAIN SHOPEE COCOKI GA MENANG MENANG AAAAA KESEL BANGETTTTT,0,0,0,0,daritadi main menang menang kesal
Sun Jul 30 18:38:42 +0000 2023,oh skrg main cocoki @ice_creamies https://t.co/HRslcpSplI,0,1,0,0,main
Sun Jul 30 18:37:58 +0000 2023,Jam segini udah ada yang share tips shopee cocoki hari ini belum sih wkwkk aku gabuttt,0,0,0,1,jam share tips wkwkk bosan
Sun Jul 30 18:36:20 +0000 2023,@tanyakanrl ABIS MAIN SHOPEE COCOKI,0,0,0,0,main
Sun Jul 30 18:35:58 +0000 2023,@dokyt__t lg main cocoki haha,0,1,0,0,main tertawa
Sun Jul 30 18:35:43 +0000 2023,"main cocoki sekali nyoba dah mau berhasil eh tangan malah kepleset salah pencet, alhasil gameover wkwk",0,1,0,0,main mencoba berhasil tangan kepleset salah pencet alhasil gameover
Sun Jul 30 18:34:41 +0000 2023,Akal akalan siapa sih yg bikin game cocoki?????,0,0,0,0,akal akalan permainan
Sun Jul 30 18:33:06 +0000 2023,gue stres bgt main cocoki yaallah gua ga peduli sama tu hadiah koinnya GUA CUMA MAU MENANG PLS,0,0,0,0,stres main peduli hadiah koinnya menang
Sun Jul 30 18:32:49 +0000 2023,Aku mending tidur apa main shopee cocoki y,0,0,0,0,tidur main
Sun Jul 30 18:32:04 +0000 2023,COCOKI TAIIII,0,1,0,0,tahi
Sun Jul 30 18:32:00 +0000 2023,@tanyakanrl IYA ASLII. Ganti nama aja jangan cocoki jadi DJANCOK KI https://t.co/oq7QvcuQhJ,0,0,0,1,aslii ganti nama djancok ki
Sun Jul 30 18:31:02 +0000 2023,Gua masih mencoba main si cocoki anjj,0,0,0,0,mencoba main anjj
Sun Jul 30 18:25:30 +0000 2023,Habis main shopee cocoki sampe sakit kepala,0,3,0,0,main sakit kepala
Sun Jul 30 18:21:31 +0000 2023,recap kemenangan cocoki https://t.co/2hHBR4rNK6,0,1,0,1,recap kemenangan
Sun Jul 30 18:21:31 +0000 2023,udah semingguan ini kesibukannya hanya main cocoki yang masih di level 3,0,0,0,1,semingguan kesibukannya main level
Sun Jul 30 18:19:27 +0000 2023,keknya sendernya jg abis main cocoki ga menang2,0,0,0,0,kayaknya sendernya main menang
Sun Jul 30 18:12:54 +0000 2023,shopee cocoki mainnya gmn anjer,0,1,0,0,mainnya anjer
Sun Jul 30 18:11:33 +0000 2023,Wonu gamau main shopee cocoki kah?,0,0,0,0,wonu main
Sun Jul 30 18:09:05 +0000 2023,"@cadgeiver kemarin kemarin sibuk bneran, sekarang sibuk main shopee cocoki",0,1,0,0,kemarin kemarin sibuk sibuk main
Sun Jul 30 18:07:27 +0000 2023,Main dari jam 7 malem sampe tiba tiba ganti format kaga bisa menang menang ini cocoki https://t.co/QEtl3jYhmJ,0,0,0,0,main jam malam ganti format kagak menang menang
Sun Jul 30 18:07:04 +0000 2023,Siklus hidup : Bangun tidur - shopee cocoki 2837483738 kali - Tidur lagi,0,0,1,2,siklus hidup bangun tidur tidur
Sun Jul 30 18:06:41 +0000 2023,ancuk frustasi maen shopee cocoki,0,0,0,0,ancuk frustasi main
Sun Jul 30 18:06:32 +0000 2023,@connectwithjake Cocoki ada di shopee game,0,0,0,0,permainan
Sun Jul 30 18:05:11 +0000 2023,cocoki shopee bikin tambah stres anjingggg https://t.co/CPn9tNvike,0,2,0,0,stres anjing
Sun Jul 30 18:02:46 +0000 2023,COCOKI BANGSATTTTT,0,0,0,0,bangsat
Sun Jul 30 17:56:12 +0000 2023,"dari sopi cocoki gue tau ga cuma emosi gue yang tinggi, tapi rasa penasaran gue juga tinggi😃",0,1,0,0,emosi penasaran
Sun Jul 30 17:55:42 +0000 2023,@Alhiaitham Cocoki date with kalatian,0,0,0,0,date with kalatian
Sun Jul 30 17:54:11 +0000 2023,@kshahrewarm Stress karena banyak pikiran ❌ Stress karena main cocoki ✅,0,1,1,0,stre pikiran stre main
Sun Jul 30 17:54:01 +0000 2023,cocoki azuuuu tinggal segini pun kalah co https://t.co/fR25ODHSVN,0,0,0,0,azu tinggal kalah cowok
Sun Jul 30 17:53:58 +0000 2023,@Blessingisdisg1 Siaapp semangat menaklukkan cocoki ya✊,0,1,0,1,siaapp semangat menaklukkan
Sun Jul 30 17:53:19 +0000 2023,Dua duanya main Cocoki jam segini https://t.co/SLF5mDyp0L,0,1,0,0,duanya main jam
Sun Jul 30 17:53:05 +0000 2023,main cocoki kali 😔,0,0,0,0,main
Sun Jul 30 17:50:23 +0000 2023,cocoki bagian tengah ini sedalam cintaku padamu. alias jueru poolll,0,0,0,0,sedalam cintaku padamu jueru pool
Sun Jul 30 17:49:54 +0000 2023,Bodoamat aing akan apdet cocoki terus😔🤟 (kalo menang) https://t.co/F7amQkLHzB,1,1,0,0,bodoamat apdet menang
Sun Jul 30 17:49:52 +0000 2023,WANT TO PAMER 😭😭 sopi tanamku langsung dapet 10k😭🫶🏻 Alhamdulillah ga menang cocoki tp dapet ini😭😭 https://t.co/YoLu4SCMPl,0,1,0,1,want pamer tanamku langsung alhamdulillah menang
Sun Jul 30 17:49:00 +0000 2023,@E4rthSea Cocoki yg level 3 bukan kakk?,0,1,0,0,level
Sun Jul 30 17:48:47 +0000 2023,shopee cocoki tuh gmnsi cara menanginnya :(,0,0,0,0,gmnsi menanginnya
Sun Jul 30 17:48:28 +0000 2023,Dikira tidur taunya main shopee cocoki si bangkeee emang😭👍 https://t.co/3GQCC8slf8,0,0,0,0,tidur taunya main bangkai
Sun Jul 30 17:47:57 +0000 2023,cocoki hari ini gampang bgt🫶🏻 enak nih open joki cocoki hari ini wkwk https://t.co/StW1CDOypi,0,4,0,0,gampang enak open joki
Sun Jul 30 17:47:29 +0000 2023,@discountfess Trik main cocoki plis,0,0,0,0,trik main
Sun Jul 30 17:44:19 +0000 2023,sopi cocoki maju lo siniii gue masih belum nyeraaah,0,0,0,1,maju nyerah
Sun Jul 30 17:41:08 +0000 2023,setengah jam main cocoki saya pamit turu nyerah deh lanjut besok,0,0,0,0,jam main pamit turu nyerah
Sun Jul 30 17:39:55 +0000 2023,Pamer menang shopee cocoki part 12. Udah cumlaude ya berarti gue 👩‍🎓 @siigantenng https://t.co/TkGXlVJQcU,1,3,0,1,pamer menang cumlaude
Sun Jul 30 17:39:31 +0000 2023,"nyesel nyobain main cocoki, jam set 1 stress sendiri",0,0,0,0,menyesal mencoba main jam set stre
Sun Jul 30 17:37:58 +0000 2023,(ficc) ka sini deh aku tutorin shopee cocoki sampe menang tiap hari jadi ntar updatenya juga tiap hari hihi🤭 — wah ini ada maksud terselubung yha warga https://t.co/jwxZwCaqZ6,0,0,0,0,ficc tutorin menang entar updatenya hihi maksud terselubung warga
Sun Jul 30 17:37:55 +0000 2023,Yg cocoki hari ini lumayan susah ya🥲,0,0,0,0,lumayan susah
Sun Jul 30 17:36:56 +0000 2023,"APAAN ITU COCOKI, GUE GAK AKAN MAIN COCOKI GAJELAS LAGI",0,1,0,0,main
Sun Jul 30 17:36:37 +0000 2023,Sudah bisa tidur nyenyak karena berhasil menang Cocoki 🙏😚,0,0,0,0,tidur nyenyak berhasil menang
Sun Jul 30 17:34:52 +0000 2023,JANGN MAIN SHOPEE COCOKI! https://t.co/e7FbZOSlUV,0,0,0,0,jangn main
Sun Jul 30 17:34:18 +0000 2023,"Idup udah puyeng,ga usah deh lu tambah2in sama cocoki.~ 🤣",0,0,0,0,hidup pusing tambahkan
Sun Jul 30 17:32:47 +0000 2023,"Sorry kali ini gue lbih milih cocoki, sp suruh lu g bales cht gue dr sianggg https://t.co/Wf9qUvLX8r",0,0,0,0,maaf memilih suruh balas cht siang
Sun Jul 30 17:32:31 +0000 2023,Game cocoki ini game dajjal alias susah banget mo menang,0,0,0,0,permainan permainan dajjal susah menang
Sun Jul 30 17:31:42 +0000 2023,di ak kok ga ada shopee cocoki anjrit,0,3,0,0,anjing
Sun Jul 30 17:31:33 +0000 2023,buka lagi shopee lu udah daily reset pattern cocoki,0,0,0,0,buka daily reset pattern
Sun Jul 30 17:31:17 +0000 2023,@leeknowjatim Km main cocoki aj,0,1,0,0,main
Sun Jul 30 17:30:20 +0000 2023,game cocoki senagih ini anying ternyata wkwk,0,0,0,0,permainan senagih anying
Sun Jul 30 17:30:20 +0000 2023,tutorial stres adalah dengan main cocoki,0,0,0,0,tutorial stres main
Sun Jul 30 17:29:58 +0000 2023,@discountfess sumpah gue geretan bgt sama ni cocoki juancokkkk,0,0,0,0,geretan juancok
Sun Jul 30 17:29:05 +0000 2023,UDH GW LAP NI AIR MATA PERKARA COCOKI.,1,0,0,0,lap air mata perkara
Sun Jul 30 17:28:08 +0000 2023,Gue main shopee cocoki ga menang-menang. Shopee lu mencurangi gue ya https://t.co/PtT2u29wQU,0,0,0,0,main menang menang mencurangi
Sun Jul 30 17:27:54 +0000 2023,yang buat shopee cocoki semoga harimu senin trs anjg,0,0,0,0,semoga harimu senin anjing
Sun Jul 30 17:27:11 +0000 2023,"@rahmdess27 Abis main cocoki kga menang mau tidur eh bestie nge live wkwk""",0,0,0,1,main kga menang tidur bestie nge live
Sun Jul 30 17:25:39 +0000 2023,"kayaknya hr ini cocoki agak gampang, bismillah dah",0,0,0,0,gampang bismillah
Sun Jul 30 17:25:33 +0000 2023,@eajforyou Dah sampai mana cocoki nya,0,1,0,0,
Sun Jul 30 17:25:27 +0000 2023,Shopee cocoki mending ganti nama jadi shopee cok asu susah bener anjing,0,1,0,0,ganti nama cok asu susah anjing
Sun Jul 30 17:25:13 +0000 2023,@rahmdess27 Lagi main cocoki😭,0,0,0,0,main
Sun Jul 30 17:24:53 +0000 2023,gabisa bobo karena penasaran mulu sama game cocoki!!!,0,0,0,0,tidur penasaran permainan
Sun Jul 30 17:24:31 +0000 2023,Skill main cocoki dan menang tiap hari bisa dimasukin ke cv ga sii 😔🤌 https://t.co/Ix16N8sj16,0,8,1,3,skill main menang dimasuki cv
Sun Jul 30 17:23:18 +0000 2023,ga ada gw temen nangisin cocoki lu ilamg satu,1,0,0,0,teman nangisin ilamg
Sun Jul 30 17:21:56 +0000 2023,sedang menunggu tips n trik cocoki https://t.co/FbMJrWF6qj,0,1,1,3,menunggu tips trik
Sun Jul 30 17:21:47 +0000 2023,gua muak sama cocoki anjingggg,0,1,0,0,muak anjing
Sun Jul 30 17:21:21 +0000 2023,Shopi cocoki stress anjinggggg,0,0,0,0,stre anjing
Sun Jul 30 17:21:12 +0000 2023,Cocoki🤯🤯,0,0,0,0,
Sun Jul 30 17:20:40 +0000 2023,"Hari hari sampe mata sepet pagi,siang, sore, malem gara2 shopee cocoki yg ga menang menang😡😭😫🤯👊",0,0,0,1,mata sepet pagi siang sore malam gara menang menang
Sun Jul 30 17:20:19 +0000 2023,KDHAKSNQLSBSHS  BODOH BGT SLM INI AK SHARE BANTUAN BUAT SHOPEE COCOKI KE DOSEN AKU GBLKKKKKKKKKK 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,0,1,0,0,kdhaksnqlsbshs bodoh salam share bantuan dosen bodoh
Sun Jul 30 17:19:32 +0000 2023,@kvidult Jadi budak cocoki,0,0,0,0,budak
Sun Jul 30 17:19:29 +0000 2023,Mo main sopi cocoki tp takut gabisa brenti,0,0,0,0,main takut brenti
Sun Jul 30 17:18:05 +0000 2023,Haha saatnya main cocoki,0,1,0,0,tertawa main
Sun Jul 30 17:17:04 +0000 2023,@NowYourMine66 Abis main cocoki.. wkwkwkwk,0,1,0,0,main wkwkwkwk
Sun Jul 30 17:16:56 +0000 2023,kecanduan dolanan cocoki reti2 ws jam12 @bilaztine :'),0,1,0,0,kecanduan dolanan reti ws jam
Sun Jul 30 17:16:48 +0000 2023,Tumben hari ini cocoki gampang bat dah,0,0,0,0,tumben gampang
Sun Jul 30 17:15:57 +0000 2023,waktunya main cocoki,0,1,0,1,main
Sun Jul 30 17:15:47 +0000 2023,cocoki ajg bgt dah,0,0,0,0,anjing
Sun Jul 30 17:15:26 +0000 2023,emang shopee cocoki ni anjeng kali lah 😭,0,0,0,0,anjeng
Sun Jul 30 17:14:53 +0000 2023,coba lu smua skrng cobain cocoki hari ini ajg makin gajelas,0,0,0,0,coba coba anjing
Sun Jul 30 17:14:02 +0000 2023,Main cocoki tuh nggak mikirin koin 10k-nya tapi maunya tuh MENANG,0,0,0,0,main memikirkan koin maunya menang
Sun Jul 30 17:13:51 +0000 2023,@discountfess buka joki cocoki kah?,0,0,0,0,buka joki
Sun Jul 30 17:13:39 +0000 2023,main cocoki ga bisa bisa sampe ke bawa mimpi 😭,0,1,0,0,main bawa mimpi
Sun Jul 30 17:13:15 +0000 2023,Yg bikin Shopee cocoki tu punya masalah hidup apa yaa susah bnr anjeng,0,0,0,0,hidup susah anjeng
Sun Jul 30 17:13:05 +0000 2023,@kaptenAmercia curiga yg pamer2 ss udah menang tu buzzer shopee cocoki biar player termotivasi 😭,0,2,0,0,curiga pamer menang buzzer player termotivasi
Sun Jul 30 17:12:16 +0000 2023,wkwkkw kos samping gw maen cocoki jam segini😭,0,0,0,0,tertawa kos samping main jam
Sun Jul 30 17:11:20 +0000 2023,"info palung cocoki hari ini, tolong dong aku belum menang dari kemarin😔😔 https://t.co/ZBzqp9kfUy",0,0,1,0,informasi palung menang kemarin
Sun Jul 30 17:10:59 +0000 2023,w nyerah main shopee cocoki,0,0,0,0,nyerah main
Sun Jul 30 17:10:32 +0000 2023,mual aku main shopee cocoki,0,0,0,1,mual main
Sun Jul 30 17:10:23 +0000 2023,@abcdfuckyoo sesama korban shopee cocoki harus saling membantuuu🥹,0,1,0,0,korban membantu
Sun Jul 30 17:08:21 +0000 2023,aku suka main cocoki karena KAPAN LAGI AKU MAIN GAME TAPI DIKASI WANG?????? wkwkwkwkwk biasanya main candy crush soda aku yg bayar 😭,0,0,0,0,suka main main permainan dikasi wang wkwkwkwkwk main candy crush soda bayar
Sun Jul 30 17:06:55 +0000 2023,Main cocoki di temenin jungkook🫡 https://t.co/0CJYwASwVS,0,0,0,0,main temenin jungkook
